Linux 3.10.0-514.26.2.el7.x86_64 (ip-10-0-1-10) 	01/08/17 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:10:01         2.36  24704.20
05:20:01         2.37  24713.32
05:30:01         2.29  24980.57
05:40:01         2.41  24818.33
05:50:01         2.30  24678.72
06:00:01         2.40  24608.40
06:10:01         2.43  24242.56
06:20:01         2.31  24137.08
06:30:01         2.43  24117.28
06:40:01         2.56  24003.92
06:50:02         2.31  24434.29
07:00:01         2.35  24415.22
07:10:01         2.40  24400.74
07:20:01         2.30  24436.02
07:30:01         2.39  24394.30
07:40:01         2.37  24413.81
07:50:01         2.30  24471.30
08:00:01         2.41  24497.20
08:10:01         2.33  24692.07
08:20:01         2.34  24735.83
08:30:01         2.37  24712.75
08:40:01         2.78  24633.40
08:50:01         2.88  23879.42
09:00:02         2.85  24000.40
09:10:01         2.83  24268.44
09:20:01         2.69  24338.62
09:30:01         2.76  22248.62
09:40:01         2.50  16796.38
09:50:03         2.59  20577.15
10:00:01         2.79  23337.77
10:10:02         2.74  22987.19
10:20:01         2.86  23499.55
10:30:01         2.90  24395.56
10:40:01         2.62  20334.91
10:50:02         2.40  16290.68
11:00:01         2.54  19364.28
11:10:01         2.60  21049.71
11:20:02         2.63  21687.28
11:30:02         2.64  22545.54
11:40:01         2.69  23279.94
11:50:01         2.65  17506.67
12:00:02         2.48  16262.99
12:10:02         2.63  20236.84
12:20:02         2.76  23060.39
12:30:01         2.76  22511.04
